instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,timespan
1,2011-01-01,spring,2011,1,0,0,Sunday,0,1,9.84,14.395,81.0,0.0,3,13,16,non-office hour
2,2011-01-01,spring,2011,1,1,0,Sunday,0,1,9.02,13.635,80.0,0.0,8,32,40,non-office hour
3,2011-01-01,spring,2011,1,2,0,Sunday,0,1,9.02,13.635,80.0,0.0,5,27,32,non-office hour
4,2011-01-01,spring,2011,1,3,0,Sunday,0,1,9.84,14.395,75.0,0.0,3,10,13,non-office hour
5,2011-01-01,spring,2011,1,4,0,Sunday,0,1,9.84,14.395,75.0,0.0,0,1,1,non-office hour
6,2011-01-01,spring,2011,1,5,0,Sunday,0,2,9.84,12.879999999999999,75.0,6.0032,0,1,1,non-office hour
7,2011-01-01,spring,2011,1,6,0,Sunday,0,1,9.02,13.635,80.0,0.0,2,0,2,non-office hour
8,2011-01-01,spring,2011,1,7,0,Sunday,0,1,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,non-office hour
9,2011-01-01,spring,2011,1,8,0,Sunday,0,1,9.84,14.395,75.0,0.0,1,7,8,non-office hour
10,2011-01-01,spring,2011,1,9,0,Sunday,0,1,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,office hour
11,2011-01-01,spring,2011,1,10,0,Sunday,0,1,15.58,19.695,76.0,16.997899999999998,12,24,36,office hour
12,2011-01-01,spring,2011,1,11,0,Sunday,0,1,14.76,16.665,81.0,19.0012,26,30,56,office hour
13,2011-01-01,spring,2011,1,12,0,Sunday,0,1,17.22,21.21,77.0,19.0012,29,55,84,office hour
14,2011-01-01,spring,2011,1,13,0,Sunday,0,2,18.86,22.725,72.0,19.999499999999998,47,47,94,office hour
15,2011-01-01,spring,2011,1,14,0,Sunday,0,2,18.86,22.725,72.0,19.0012,35,71,106,office hour
16,2011-01-01,spring,2011,1,15,0,Sunday,0,2,18.04,21.97,77.0,19.999499999999998,40,70,110,office hour
17,2011-01-01,spring,2011,1,16,0,Sunday,0,2,17.22,21.21,82.0,19.999499999999998,41,52,93,office hour
18,2011-01-01,spring,2011,1,17,0,Sunday,0,2,18.04,21.97,82.0,19.0012,15,52,67,office hour
19,2011-01-01,spring,2011,1,18,0,Sunday,0,3,17.22,21.21,88.0,16.997899999999998,9,26,35,non-office hour
20,2011-01-01,spring,2011,1,19,0,Sunday,0,3,17.22,21.21,88.0,16.997899999999998,6,31,37,non-office hour
21,2011-01-01,spring,2011,1,20,0,Sunday,0,2,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,non-office hour
22,2011-01-01,spring,2011,1,21,0,Sunday,0,2,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,non-office hour
23,2011-01-01,spring,2011,1,22,0,Sunday,0,2,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,non-office hour
24,2011-01-01,spring,2011,1,23,0,Sunday,0,2,18.86,22.725,88.0,19.999499999999998,15,24,39,non-office hour
25,2011-01-02,spring,2011,1,0,0,Monday,0,2,18.86,22.725,88.0,19.999499999999998,4,13,17,non-office hour
26,2011-01-02,spring,2011,1,1,0,Monday,0,2,18.04,21.97,94.0,16.997899999999998,1,16,17,non-office hour
27,2011-01-02,spring,2011,1,2,0,Monday,0,2,17.22,21.21,100.0,19.0012,1,8,9,non-office hour
28,2011-01-02,spring,2011,1,3,0,Monday,0,2,18.86,22.725,94.0,12.998000000000001,2,4,6,non-office hour
29,2011-01-02,spring,2011,1,4,0,Monday,0,2,18.86,22.725,94.0,12.998000000000001,2,1,3,non-office hour
30,2011-01-02,spring,2011,1,6,0,Monday,0,3,17.22,21.21,77.0,19.999499999999998,0,2,2,non-office hour
31,2011-01-02,spring,2011,1,7,0,Monday,0,2,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,non-office hour
32,2011-01-02,spring,2011,1,8,0,Monday,0,3,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,non-office hour
33,2011-01-02,spring,2011,1,9,0,Monday,0,2,15.58,19.695,76.0,15.001299999999999,1,19,20,office hour
34,2011-01-02,spring,2011,1,10,0,Monday,0,2,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,office hour
35,2011-01-02,spring,2011,1,11,0,Monday,0,2,14.76,16.665,71.0,16.997899999999998,16,54,70,office hour
36,2011-01-02,spring,2011,1,12,0,Monday,0,2,14.76,16.665,66.0,19.999499999999998,20,73,93,office hour
37,2011-01-02,spring,2011,1,13,0,Monday,0,2,14.76,17.424999999999997,66.0,8.9981,11,64,75,office hour
38,2011-01-02,spring,2011,1,14,0,Monday,0,3,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,office hour
39,2011-01-02,spring,2011,1,15,0,Monday,0,3,13.940000000000001,16.665,81.0,11.0014,19,55,74,office hour
40,2011-01-02,spring,2011,1,16,0,Monday,0,3,13.940000000000001,16.665,71.0,11.0014,9,67,76,office hour
